Specimen_ID,Island,Context,Perch_Type,RQ,RA,Comments
453,Puerto Rico,Forest,Random,40.9693,33.7841,
454,Puerto Rico,Forest,Random,6.7626,4.9673,
455,Puerto Rico,Forest,Random,26.5504,21.3776,
456,Puerto Rico,Forest,Random,n/a,n/a,
457,Puerto Rico,Forest,Random,21.543,17.1121,
458,Puerto Rico,Forest,Random,29.6162,23.3183,
459,Puerto Rico,Forest,Random,30.06,24.3167,
460,Puerto Rico,Forest,Random,9.886,7.258,
461,Puerto Rico,Forest,Random,18.9497,15.8851,
462,Puerto Rico,Forest,Random,7.7362,5.896,
463,Puerto Rico,Forest,Random,24.2954,19.355,
464,Puerto Rico,Forest,Random,14.0159,11.5255,
465,Puerto Rico,Forest,Random,27.2048,21.2093,
466,Puerto Rico,Forest,Random,18.6335,14.7855,
467,Puerto Rico,Forest,Random,23.8121,17.4102,
468,Puerto Rico,Forest,Random,12.5075,8.7649,
469,Puerto Rico,Forest,Random,47.9476,40.066,
470,Puerto Rico,Forest,Random,36.4844,29.3209,
471,Puerto Rico,Forest,Random,17.878,14.0343,
472,Puerto Rico,Forest,Random,31.8232,25.7468,
473,Puerto Rico,Forest,Random,21.3307,16.6174,
474,Puerto Rico,Forest,Random,31.3604,24.1984,
475,Puerto Rico,Forest,Random,32.7237,25.7376,
476,Puerto Rico,Forest,Random,30.075,23.3344,
477,Puerto Rico,Forest,Random,29.5266,23.2245,
478,Puerto Rico,Forest,Random,28.4388,22.1296,
479,Puerto Rico,Forest,Random,25.5745,20.3807,
480,Puerto Rico,Forest,Random,46.1233,38.7853,
